# nhpx, l , b
560, 176.5206, -48.8667
561, 176.5221, -48.8523
562, 176.4988, -48.8681
563, 176.5003, -48.8537
564, 176.5236, -48.8379
565, 176.5251, -48.8236
566, 176.5018, -48.8393
567, 176.5034, -48.8249
568, 176.4770, -48.8694
569, 176.4785, -48.8550
570, 176.4552, -48.8708
571, 176.4567, -48.8564
572, 176.4801, -48.8407
573, 176.4816, -48.8263
574, 176.4583, -48.8420
575, 176.4598, -48.8276
576, 176.6138, -48.8037
577, 176.6152, -48.7893
578, 176.5920, -48.8051
579, 176.5935, -48.7907
580, 176.6167, -48.7749
581, 176.6182, -48.7606
582, 176.5949, -48.7763
583, 176.5964, -48.7619
584, 176.5702, -48.8065
585, 176.5717, -48.7921
586, 176.5484, -48.8078
587, 176.5499, -48.7934
588, 176.5732, -48.7777
589, 176.5747, -48.7633
590, 176.5514, -48.7791
591, 176.5529, -48.7647
592, 176.6196, -48.7462
593, 176.6211, -48.7318
594, 176.5979, -48.7476
595, 176.5994, -48.7332
596, 176.6226, -48.7174
597, 176.6241, -48.7031
598, 176.6008, -48.7188
599, 176.6023, -48.7044
600, 176.5761, -48.7489
601, 176.5776, -48.7346
602, 176.5544, -48.7503
603, 176.5559, -48.7359
604, 176.5791, -48.7202
605, 176.5806, -48.7058
606, 176.5574, -48.7216
607, 176.5588, -48.7072
608, 176.5266, -48.8092
609, 176.5281, -48.7948
610, 176.5049, -48.8105
611, 176.5064, -48.7962
612, 176.5296, -48.7804
613, 176.5311, -48.7661
614, 176.5079, -48.7818
615, 176.5094, -48.7674
616, 176.4831, -48.8119
617, 176.4846, -48.7975
618, 176.4613, -48.8133
619, 176.4628, -48.7989
620, 176.4861, -48.7831
621, 176.4876, -48.7688
622, 176.4643, -48.7845
623, 176.4658, -48.7701
624, 176.5326, -48.7517
625, 176.5341, -48.7373
626, 176.5109, -48.7530
627, 176.5124, -48.7387
628, 176.5356, -48.7229
629, 176.5371, -48.7085
630, 176.5139, -48.7243
631, 176.5154, -48.7099
632, 176.4891, -48.7544
633, 176.4906, -48.7400
634, 176.4673, -48.7558
635, 176.4689, -48.7414
636, 176.4921, -48.7256
637, 176.4936, -48.7113
638, 176.4704, -48.7270
639, 176.4719, -48.7126
640, 176.4273, -48.9296
641, 176.4288, -48.9152
642, 176.4055, -48.9309
643, 176.4070, -48.9166
644, 176.4303, -48.9009
645, 176.4319, -48.8865
646, 176.4085, -48.9022
647, 176.4101, -48.8878
648, 176.3836, -48.9323
649, 176.3852, -48.9179
650, 176.3618, -48.9336
651, 176.3633, -48.9192
652, 176.3867, -48.9035
653, 176.3882, -48.8892
654, 176.3649, -48.9049
655, 176.3664, -48.8905
656, 176.4334, -48.8721
657, 176.4349, -48.8577
658, 176.4116, -48.8734
659, 176.4131, -48.8591
660, 176.4365, -48.8434
661, 176.4380, -48.8290
662, 176.4147, -48.8447
663, 176.4162, -48.8303
664, 176.3898, -48.8748
665, 176.3913, -48.8604
666, 176.3680, -48.8761
667, 176.3695, -48.8617
668, 176.3928, -48.8460
669, 176.3944, -48.8317
670, 176.3710, -48.8474
671, 176.3726, -48.8330
672, 176.3399, -48.9349
673, 176.3415, -48.9206
674, 176.3181, -48.9363
675, 176.3196, -48.9219
676, 176.3430, -48.9062
677, 176.3446, -48.8918
678, 176.3212, -48.9075
679, 176.3228, -48.8931
680, 176.2962, -48.9376
681, 176.2978, -48.9232
682, 176.2744, -48.9389
683, 176.2760, -48.9245
684, 176.2994, -48.9088
685, 176.3009, -48.8945
686, 176.2775, -48.9102
687, 176.2791, -48.8958
688, 176.3461, -48.8774
689, 176.3477, -48.8631
690, 176.3243, -48.8788
691, 176.3259, -48.8644
692, 176.3492, -48.8487
693, 176.3508, -48.8343
694, 176.3274, -48.8500
695, 176.3290, -48.8357
696, 176.3025, -48.8801
697, 176.3041, -48.8657
698, 176.2807, -48.8814
699, 176.2822, -48.8670
700, 176.3056, -48.8513
